Postcode,Latitude,Longitude
DD1 1AA,56.462189,-2.973622
DD1 1AB,56.462096,-2.973977
DD1 1AD,56.462393,-2.97725
DD1 1AE,56.46273,-2.977778
DD1 1AF,56.460223,-2.975555
DD1 1AR,56.459388,-2.967563
DD1 1AY,56.459562,-2.976346
DD1 1BA,56.461682,-2.976274
DD1 1BB,56.461628,-2.976399
DD1 1BD,56.460214,-2.973377
DD1 1DA,56.462616,-2.970728
DD1 1DB,56.464595,-2.969253
DD1 1DD,56.462123,-2.971673
DD1 1DF,56.462116,-2.971381
DD1 1DG,56.462567,-2.97123
DD1 1DH,56.461777,-2.971177
DD1 1DJ,56.462612,-2.969985
DD1 1DP,56.456879,-2.972432
DD1 1DQ,56.46172,-2.970271
DD1 1DR,56.462567,-2.97123
DD1 1DT,56.462936,-2.969941
DD1 1DU,56.463158,-2.971456
DD1 1DW,56.462567,-2.97123
DD1 1DX,56.460061,-2.971182
DD1 1DY,56.460321,-2.971173
DD1 1DZ,56.463158,-2.97144
DD1 1EA,56.463103,-2.971568
DD1 1EB,56.463103,-2.971568
DD1 1ED,56.463236,-2.970679
DD1 1EF,56.46404,-2.9713
DD1 1EG,56.463236,-2.970679
DD1 1EH,56.463563,-2.970282
DD1 1EJ,56.463852,-2.971214
DD1 1EL,56.464092,-2.971496
DD1 1EN,56.464456,-2.97097
DD1 1EP,56.463226,-2.97076
DD1 1EQ,56.463492,-2.970166
DD1 1ER,56.464596,-2.970259
DD1 1ES,56.462648,-2.97464
DD1 1ET,56.462901,-2.974484
DD1 1EU,56.462541,-2.974475
DD1 1EX,56.462405,-2.97579
DD1 1EY,56.46243,-2.977231
DD1 1EZ,56.462429,-2.977393
DD1 1FA,56.460223,-2.975555
DD1 1HA,56.46355,-2.972947
DD1 1HB,56.462616,-2.976424
DD1 1HD,56.456879,-2.972432
DD1 1HE,56.456985,-2.97271
DD1 1HF,56.463579,-2.972655
DD1 1HG,56.463117,-2.974299
DD1 1HH,56.463543,-2.972715
DD1 1HJ,56.463543,-2.972715
DD1 1HL,56.463543,-2.972715
DD1 1HN,56.463765,-2.971913
DD1 1HP,56.463637,-2.971111
DD1 1HQ,56.463469,-2.973054
DD1 1HR,56.463441,-2.971999
DD1 1HS,56.463422,-2.972193
DD1 1HT,56.461093,-2.975898
DD1 1HU,56.462957,-2.973058
DD1 1HW,56.463783,-2.97191
DD1 1HX,56.464105,-2.973156
DD1 1HY,56.464535,-2.972254
DD1 1HZ,56.463702,-2.973109
DD1 1JA,56.464535,-2.972254
DD1 1JB,56.464444,-2.974719
DD1 1JD,56.463394,-2.974578
DD1 1JF,56.462234,-2.973542
DD1 1JG,56.463917,-2.972043
DD1 1JH,56.464851,-2.970947
DD1 1JJ,56.464596,-2.970259
DD1 1JL,56.4605,-2.971339
DD1 1JN,56.464504,-2.971653
DD1 1JP,56.46454,-2.971605
DD1 1JQ,56.463774,-2.97191
DD1 1JR,56.464813,-2.97119
DD1 1JS,56.465106,-2.972727
DD1 1JT,56.464653,-2.97448
DD1 1JU,56.464967,-2.975657
DD1 1JW,56.46454,-2.971605
DD1 1JX,56.46451,-2.975499
DD1 1JZ,56.464478,-2.976164
DD1 1LA,56.464377,-2.976453
DD1 1LB,56.463932,-2.975906
DD1 1LD,56.464373,-2.976924
DD1 1LE,56.464186,-2.975527
DD1 1LF,56.463432,-2.97552
DD1 1LH,56.46246,-2.974505
DD1 1LL,56.462304,-2.974923
DD1 1LN,56.462158,-2.97294
DD1 1LP,56.461938,-2.974671
DD1 1LQ,56.460585,-2.978742
DD1 1LR,56.461983,-2.974623
DD1 1LS,56.460252,-2.975455
DD1 1LT,56.461816,-2.975268
DD1 1LU,56.461789,-2.975271
DD1 1LW,56.462011,-2.972222
DD1 1LX,56.461549,-2.974891
DD1 1LY,56.462138,-2.975503
DD1 1LZ,56.462162,-2.975784
DD1 1NA,56.46193,-2.975628
DD1 1NB,56.460252,-2.975455
DD1 1ND,56.461675,-2.975982
DD1 1NE,56.461437,-2.975502
DD1 1NF,56.460252,-2.975455
DD1 1NG,56.461688,-2.977845
DD1 1NH,56.461561,-2.976839
DD1 1NJ,56.460579,-2.978258
DD1 1NL,56.460252,-2.975455
DD1 1NN,56.460252,-2.975455
DD1 1NP,56.45885,-2.976575
DD1 1NQ,56.458986,-2.977532
DD1 1NR,56.458192,-2.975759
DD1 1NS,56.458263,-2.975875
DD1 1NT,56.46157,-2.976836
DD1 1NU,56.457908,-2.975297
DD1 1NW,56.459462,-2.977642
DD1 1NX,56.45804,-2.975658
DD1 1NY,56.457917,-2.975298
DD1 1NZ,56.460252,-2.975455
DD1 1PA,56.457779,-2.975732
DD1 1PB,56.457658,-2.976281
DD1 1PD,56.458445,-2.976658
DD1 1PE,56.458575,-2.977262
DD1 1PF,56.459166,-2.97752
DD1 1PG,56.461626,-2.974306
DD1 1PH,56.460912,-2.973703
DD1 1PJ,56.461227,-2.977087
DD1 1PL,56.461464,-2.974415
DD1 1PN,56.460958,-2.974743
DD1 1PP,56.461189,-2.975089
DD1 1PQ,56.461333,-2.973957
DD1 1PR,56.460996,-2.976707
DD1 1PS,56.460987,-2.976711
DD1 1PT,56.45882,-2.975905
DD1 1PU,56.460787,-2.977063
DD1 1PW,56.461083,-2.975902
DD1 1PX,56.459841,-2.976288
DD1 1PY,56.45983,-2.976515
DD1 1PZ,56.460371,-2.977409
DD1 1QA,56.459961,-2.974766
DD1 1QB,56.461371,-2.975889
DD1 1QD,56.460326,-2.977372
DD1 1QE,56.460223,-2.975555
DD1 1QF,56.459953,-2.973386
DD1 1QG,56.459854,-2.973433
DD1 1QJ,56.459306,-2.974636
DD1 1QL,56.45923,-2.973968
DD1 1QN,56.45839,-2.974453
DD1 1QP,56.459281,-2.975499
DD1 1QQ,56.460018,-2.973226
DD1 1QR,56.458768,-2.975547
DD1 1QS,56.458484,-2.975101
DD1 1QT,56.45903,-2.974239
DD1 1QU,56.458828,-2.97365
DD1 1QW,56.459231,-2.975039
DD1 1QX,56.456879,-2.972432
DD1 1QY,56.458489,-2.971028
DD1 1QZ,56.45922,-2.974065
DD1 1RA,56.458772,-2.973892
DD1 1RB,56.459119,-2.974355
DD1 1RD,56.458772,-2.973892
DD1 1RE,56.459035,-2.973606
DD1 1RF,56.458474,-2.975328
DD1 1RG,56.4608,-2.970844
DD1 1RH,56.461183,-2.971231
DD1 1RJ,56.461192,-2.971308
DD1 1RL,56.461175,-2.972156
DD1 1RN,56.461212,-2.972169
DD1 1RP,56.46091,-2.972794
DD1 1RQ,56.463664,-2.972183
DD1 1RR,56.460973,-2.971741
DD1 1RT,56.461566,-2.971662
DD1 1RW,56.460809,-2.973006
DD1 1RX,56.461913,-2.97209
DD1 1RY,56.461832,-2.972071
DD1 1SA,56.460879,-2.96997
DD1 1SB,56.46113,-2.970041
DD1 1SD,56.461242,-2.969395
DD1 1SE,56.461412,-2.969578
DD1 1SF,56.461413,-2.969415
DD1 1SG,56.460965,-2.970333
DD1 1SH,56.461428,-2.97088
DD1 1SJ,56.4614,-2.971038
DD1 1SL,56.461677,-2.97124
DD1 1SN,56.461577,-2.971367
DD1 1SP,56.461882,-2.971443
DD1 1SQ,56.460956,-2.970377
DD1 1SS,56.460731,-2.969304
DD1 1SU,56.458128,-2.975822
DD1 1SW,56.461651,-2.971109
DD1 1SX,56.461014,-2.968744
DD1 1SY,56.461023,-2.96874
DD1 1SZ,56.460168,-2.970081
DD1 1TA,56.459994,-2.97045
DD1 1TB,56.461374,-2.968603
DD1 1TD,56.46111,-2.967918
DD1 1TE,56.460974,-2.968106
DD1 1TF,56.46182,-2.971341
DD1 1TH,56.462616,-2.976424
DD1 1TJ,56.461904,-2.972089
DD1 1TL,56.463103,-2.971568
DD1 1TP,56.460899,-2.977679
DD1 1TR,56.46045,-2.977667
DD1 1TS,56.46036,-2.977665
DD1 1TT,56.461038,-2.971353
DD1 1TU,56.460051,-2.971198
DD1 1TX,56.458772,-2.973892
DD1 1TY,56.458683,-2.973889
DD1 1UA,56.461934,-2.971701
DD1 1UB,56.460546,-2.971113
DD1 1UD,56.458671,-2.975349
DD1 1UE,56.45909,-2.974581
DD1 1UF,56.460093,-2.972728
DD1 1UG,56.45974,-2.973105
DD1 1UH,56.459952,-2.971309
DD1 1UJ,56.46193,-2.972187
DD1 1UL,56.460675,-2.970695
DD1 1UP,56.460047,-2.971815
DD1 1UQ,56.460203,-2.971364
DD1 1UR,56.461771,-2.97194
DD1 1UT,56.461755,-2.971696
DD1 1WA,56.461653,-2.991362
DD1 1WB,56.461653,-2.991362
DD1 1WD,56.461653,-2.991362
DD1 1WE,56.461653,-2.991362
DD1 1WF,56.461653,-2.991362
DD1 1WL,56.461682,-2.971792
DD1 1WN,56.461653,-2.991362
DD1 1WP,56.461653,-2.991362
DD1 1WQ,56.461653,-2.991362
DD1 1XA,56.462256,-2.970706
DD1 1XB,56.462204,-2.970507
DD1 1XX,56.462234,-2.973542
DD1 1YA,56.461688,-2.991412
DD1 1YB,56.461653,-2.991362
DD1 1YD,56.461342,-2.973941
DD1 1YE,56.461342,-2.973941
DD1 1YF,56.461342,-2.973941
DD1 1YG,56.462088,-2.97495
DD1 1YH,56.461333,-2.973957
DD1 1YJ,56.461653,-2.991362
DD1 1YL,56.461653,-2.991362
DD1 1YN,56.461653,-2.991362
DD1 1YQ,56.461653,-2.991362
DD1 1YR,56.461342,-2.973941
DD1 1YS,56.461653,-2.991362
DD1 1YU,56.461688,-2.991412
DD1 1YW,56.461653,-2.991362
DD1 1YX,56.461688,-2.991412
DD1 1YY,56.461653,-2.991362
DD1 2AA,56.461673,-2.968335
DD1 2AB,56.462096,-2.969417
DD1 2AD,56.465531,-2.969082
DD1 2AE,56.469369,-2.968713
DD1 2AF,56.462344,-2.969861
DD1 2AG,56.462307,-2.969925
DD1 2AH,56.462307,-2.969925
DD1 2AJ,56.462124,-2.970359
DD1 2AL,56.469296,-2.96777
DD1 2AN,56.469998,-2.966473
DD1 2AP,56.461868,-2.969739
DD1 2AQ,56.469267,-2.966876
DD1 2AR,56.461868,-2.969739
DD1 2AS,56.461912,-2.969915
DD1 2AT,56.461429,-2.968523
DD1 2AU,56.461419,-2.968604
DD1 2AW,56.462019,-2.970096
DD1 2AX,56.462401,-2.969441
DD1 2AY,56.462307,-2.969925
DD1 2AZ,56.462395,-2.969018
DD1 2BA,56.461771,-2.969587
DD1 2BB,56.463069,-2.969003
DD1 2BD,56.462852,-2.96929
DD1 2BE,56.463176,-2.969152
DD1 2BG,56.463118,-2.96956
DD1 2BJ,56.462491,-2.969443
DD1 2BP,56.463377,-2.969822
DD1 2BQ,56.463128,-2.96954
DD1 2BU,56.463117,-2.969783
DD1 2BW,56.463379,-2.96966
DD1 2DA,56.463296,-2.96995
DD1 2DB,56.463947,-2.969431
DD1 2DE,56.465579,-2.965139
DD1 2DF,56.463892,-2.969446
DD1 2DG,56.463847,-2.968341
DD1 2DT,56.464061,-2.963965
DD1 2DW,56.462491,-2.969443
DD1 2DZ,56.462401,-2.969441
DD1 2EA,56.463058,-2.968208
DD1 2EB,56.462229,-2.968462
DD1 2ED,56.462307,-2.969925
DD1 2EE,56.462301,-2.968419
DD1 2EG,56.461506,-2.967811
DD1 2EH,56.46231,-2.967312
DD1 2EJ,56.462062,-2.967894
DD1 2EL,56.462591,-2.968147
DD1 2EN,56.462957,-2.967264
DD1 2EP,56.462954,-2.967669
DD1 2EQ,56.461909,-2.968081
DD1 2ER,56.462954,-2.96655
DD1 2ES,56.46287,-2.966856
DD1 2ET,56.463176,-2.966831
DD1 2EU,56.463346,-2.966949
DD1 2EW,56.463045,-2.967574
DD1 2EX,56.463767,-2.967057
DD1 2EY,56.463677,-2.965955
DD1 2EZ,56.463708,-2.966666
DD1 2FY,56.463585,-2.966257
DD1 2HA,56.463589,-2.966874
DD1 2HB,56.463677,-2.965971
DD1 2HE,56.462954,-2.967669
DD1 2HF,56.464025,-2.965084
DD1 2HJ,56.464242,-2.963807
DD1 2HL,56.464061,-2.963965
DD1 2HN,56.463971,-2.963963
DD1 2HP,56.463599,-2.964472
DD1 2HQ,56.464087,-2.965231
DD1 2HR,56.463427,-2.965734
DD1 2HS,56.463508,-2.968122
DD1 2HT,56.463595,-2.966063
DD1 2HU,56.46358,-2.96801
DD1 2HW,56.463647,-2.965127
DD1 2HZ,56.463037,-2.968483
DD1 2JA,56.465012,-2.964086
DD1 2JB,56.465517,-2.965024
DD1 2JD,56.464386,-2.967125
DD1 2JE,56.465004,-2.965222
DD1 2JF,56.463973,-2.967127
DD1 2JG,56.464037,-2.967048
DD1 2JH,56.464326,-2.966816
DD1 2JJ,56.464314,-2.966097
DD1 2JR,56.464685,-2.96463
DD1 2JU,56.465124,-2.963554
DD1 2JW,56.464685,-2.96463
DD1 2JY,56.465489,-2.963956
DD1 2JZ,56.465211,-2.962793
DD1 2LA,56.465676,-2.966603
DD1 2LB,56.465677,-2.965272
DD1 2LD,56.465124,-2.964755
DD1 2LE,56.464398,-2.966895
DD1 2LQ,56.464577,-2.966899
DD1 2LW,56.464037,-2.967048
DD1 2LX,56.463859,-2.966881
DD1 2LZ,56.464038,-2.966886
DD1 2NA,56.464128,-2.966888
DD1 2NB,56.466348,-2.964477
DD1 2ND,56.467524,-2.964495
DD1 2NE,56.467648,-2.964867
DD1 2NF,56.468326,-2.965453
DD1 2NG,56.468273,-2.96537
DD1 2NH,56.468762,-2.965922
DD1 2NJ,56.468348,-2.966037
DD1 2NL,56.467403,-2.965121
DD1 2NN,56.466623,-2.964971
DD1 2NP,56.466551,-2.966138
DD1 2NQ,56.466561,-2.965976
DD1 2NS,56.466166,-2.967118
DD1 2NT,56.465183,-2.969836
DD1 2NU,56.465407,-2.96989
DD1 2NW,56.467648,-2.964867
DD1 2NX,56.466113,-2.969292
DD1 2NY,56.465715,-2.968438
DD1 2NZ,56.465732,-2.968552
DD1 2PA,56.465881,-2.967906
DD1 2PB,56.466249,-2.969068
DD1 2PD,56.466264,-2.968305
DD1 2PE,56.466407,-2.969624
DD1 2PF,56.466858,-2.969424
DD1 2PG,56.467153,-2.970698
DD1 2PH,56.467567,-2.969426
DD1 2PJ,56.466907,-2.968906
DD1 2PL,56.466394,-2.967757
DD1 2PN,56.466823,-2.967005
DD1 2PP,56.466541,-2.967355
DD1 2PQ,56.467128,-2.971557
DD1 2PR,56.467063,-2.968488
DD1 2PS,56.467452,-2.968047
DD1 2PU,56.467839,-2.969092
DD1 2PW,56.466639,-2.967439
DD1 2PX,56.467953,-2.967196
DD1 2PY,56.467617,-2.967658
DD1 2QA,56.46686,-2.965646
DD1 2QB,56.46696,-2.966651
